,google_hits0,google_hits1,google_hits2,google_hits3,google_hits4,google_hits5,google_hits6,google_hits7,google_hits8,google_hits9,google_hits10,google_hits11,google_hits12,google_hits13,google_hits14,google_hits15,google_hits16,google_hits17,google_hits18,google_hits19,google_hits20,google_hits21,google_hits22,google_hits23,google_hits24,google_hits25,google_hits26,google_hits27,google_hits28,google_hits29,google_hits30,google_hits31,google_hits32,google_hits33,google_hits34,google_hits35,google_hits36,google_hits37,google_hits38,google_hits39,google_hits40,google_hits41,google_hits42,google_hits43,google_hits44,google_hits45,google_hits46,google_hits47,google_hits48,google_hits49,google_hits50,google_hits51,google_hits52,google_hits53,google_hits54,google_hits55,google_hits56,google_hits57,google_hits58,google_hits59,google_hits60,google_hits61,google_hits62,google_hits63,google_hits64,google_hits65,google_hits66,google_hits67,Dates
3877,0.0,6.0,37.0,4.0,74.0,18.0,11.0,86.0,6.0,51.0,5.0,84.0,5.0,11.0,5.0,75.0,16.0,64.0,16.0,21.0,27.0,59.0,25.0,4.0,4.0,7.0,62.0,48.0,14.0,63.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/16/06
3878,0.0,6.0,37.0,4.0,74.0,18.0,11.0,86.0,6.0,51.0,5.0,84.0,5.0,11.0,5.0,75.0,16.0,64.0,16.0,21.0,27.0,59.0,25.0,4.0,4.0,7.0,62.0,48.0,14.0,63.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/19/06
3879,0.0,6.0,37.0,4.0,74.0,18.0,11.0,86.0,6.0,51.0,5.0,84.0,5.0,11.0,5.0,75.0,16.0,64.0,16.0,21.0,27.0,59.0,25.0,4.0,4.0,7.0,62.0,48.0,14.0,63.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/20/06
3880,0.0,6.0,37.0,4.0,74.0,18.0,11.0,86.0,6.0,51.0,5.0,84.0,5.0,11.0,5.0,75.0,16.0,64.0,16.0,21.0,27.0,59.0,25.0,4.0,4.0,7.0,62.0,48.0,14.0,63.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/21/06
3881,0.0,6.0,37.0,4.0,74.0,18.0,11.0,86.0,6.0,51.0,5.0,84.0,5.0,11.0,5.0,75.0,16.0,64.0,16.0,21.0,27.0,59.0,25.0,4.0,4.0,7.0,62.0,48.0,14.0,63.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/22/06
3882,0.0,6.0,37.0,4.0,74.0,18.0,11.0,86.0,6.0,51.0,5.0,84.0,5.0,11.0,5.0,75.0,16.0,64.0,16.0,21.0,27.0,59.0,25.0,4.0,4.0,7.0,62.0,48.0,14.0,63.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/23/06
3883,0.0,6.0,37.0,4.0,74.0,18.0,11.0,86.0,6.0,51.0,5.0,84.0,5.0,11.0,5.0,75.0,16.0,64.0,16.0,21.0,27.0,59.0,25.0,4.0,4.0,7.0,62.0,48.0,14.0,63.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/26/06
3884,0.0,6.0,37.0,4.0,74.0,18.0,11.0,86.0,6.0,51.0,5.0,84.0,5.0,11.0,5.0,75.0,16.0,64.0,16.0,21.0,27.0,59.0,25.0,4.0,4.0,7.0,62.0,48.0,14.0,63.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/27/06
3885,0.0,6.0,37.0,4.0,74.0,18.0,11.0,86.0,6.0,51.0,5.0,84.0,5.0,11.0,5.0,75.0,16.0,64.0,16.0,21.0,27.0,59.0,25.0,4.0,4.0,7.0,62.0,48.0,14.0,63.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/28/06
3886,0.0,6.0,37.0,4.0,74.0,18.0,11.0,86.0,6.0,51.0,5.0,84.0,5.0,11.0,5.0,75.0,16.0,64.0,16.0,21.0,27.0,59.0,25.0,4.0,4.0,7.0,62.0,48.0,14.0,63.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/29/06
3887,0.0,6.0,37.0,4.0,74.0,18.0,11.0,86.0,6.0,51.0,5.0,84.0,5.0,11.0,5.0,75.0,16.0,64.0,16.0,21.0,27.0,59.0,25.0,4.0,4.0,7.0,62.0,48.0,14.0,63.0,1.0,0.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6/30/06
3888,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/3/06
3889,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/5/06
3890,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/6/06
3891,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/7/06
3892,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/10/06
3893,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/11/06
3894,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/12/06
3895,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/13/06
3896,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/14/06
3897,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/17/06
3898,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/18/06
3899,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/19/06
3900,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/20/06
3901,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/21/06
3902,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/24/06
3903,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/25/06
3904,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/26/06
3905,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/27/06
3906,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/28/06
3907,0.0,6.0,35.0,4.0,77.0,17.0,9.0,86.0,5.0,50.0,5.0,87.0,5.0,12.0,5.0,74.0,13.0,59.0,15.0,20.0,23.0,56.0,24.0,4.0,5.0,7.0,60.0,43.0,14.0,64.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7/31/06
3908,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/1/06
3909,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/2/06
3910,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/3/06
3911,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/4/06
3912,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/7/06
3913,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/8/06
3914,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/9/06
3915,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/10/06
3916,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/11/06
3917,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/14/06
3918,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/15/06
3919,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/16/06
3920,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/17/06
3921,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/18/06
3922,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/21/06
3923,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/22/06
3924,0.0,6.0,37.0,4.0,79.0,18.0,10.0,91.0,5.0,47.0,5.0,87.0,5.0,11.0,5.0,78.0,15.0,60.0,15.0,22.0,18.0,54.0,23.0,4.0,5.0,7.0,63.0,46.0,15.0,65.0,1.0,0.0,1.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8/23/06
